Sentence #,Word,Tag
Sentence: 0,Brian,B-per
Sentence: 0,Allen,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,VOA,B-org
Sentence: 0,'s,O
Sentence: 0,Alex,B-per
Sentence: 0,Villarreal,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,VOA,B-org
Sentence: 0,'s,O
Sentence: 0,Carol,B-per
Sentence: 0,Pearson,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,VOA,B-org
Sentence: 0,'s,O
Sentence: 0,Mandy,B-per
Sentence: 0,Clark,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,Paul,B-per
Sentence: 0,Sisco,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,Russia,B-geo
Sentence: 0,backed,O
Sentence: 0,Mr.,B-per
Sentence: 1,Yushchenko,B-geo
Sentence: 1,'s,O
Sentence: 1,opponent,O
Sentence: 1,.,O
Sentence: 0,Subsequent,O
Sentence: 0,constitutional,O
Sentence: 0,reforms,O
Sentence: 0,restored,O
Sentence: 0,relative,O
Sentence: 0,political,O
Sentence: 0,stability,O
Sentence: 0,.,O
Sentence: 0,VOA,B-org
Sentence: 0,'s,O
Sentence: 0,Mil,B-per
Sentence: 0,Arcega,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,Niger,B-gpe
Sentence: 0,:,O
Sentence: 0,154th,O
Sentence: 0,.,O
Sentence: 0,Privatization,O
Sentence: 0,goals,O
Sentence: 0,remain,O
Sentence: 0,limited,O
Sentence: 0,.,O
Sentence: 0,Three,O
Sentence: 0,hundred,O
Sentence: 0,thousand,O
Sentence: 0,people,O
Sentence: 0,fled,O
Sentence: 0,westward,O
Sentence: 0,.,O
Sentence: 0,Mining,O
Sentence: 0,equipment,O
Sentence: 0,hit,O
Sentence: 0,rock,O
Sentence: 0,bottom,O
Sentence: 0,.,O
Sentence: 0,Diapers,O
Sentence: 0,remained,O
Sentence: 0,unchanged,O
Sentence: 0,.,O
Sentence: 0,Malawi,B-geo
Sentence: 0,'s,O
Sentence: 0,high,O
Sentence: 0,court,O
Sentence: 0,reinstated,O
Sentence: 0,Chilumpha,B-per
Sentence: 0,last,O
Sentence: 0,month,O
Sentence: 0,.,O
Sentence: 0,Jim,B-per
Sentence: 0,Bertel,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,VOA,B-org
Sentence: 0,'s,O
Sentence: 0,Paul,B-per
