Sentence #,Word,Tag
Sentence: 0,brian,B-per
Sentence: 0,allen,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,alex,B-per
Sentence: 0,villarreal,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,carol,B-per
Sentence: 0,pearson,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,mandy,B-per
Sentence: 0,clark,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,paul,B-per
Sentence: 0,sisco,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,russia,B-geo
Sentence: 0,backed,O
Sentence: 0,mr.,B-per
Sentence: 1,yushchenko,B-geo
Sentence: 1,'s,O
Sentence: 1,opponent,O
Sentence: 1,.,O
Sentence: 0,subsequent,O
Sentence: 0,constitutional,O
Sentence: 0,reforms,O
Sentence: 0,restored,O
Sentence: 0,relative,O
Sentence: 0,political,O
Sentence: 0,stability,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,mil,B-per
Sentence: 0,arcega,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
Sentence: 0,niger,B-gpe
Sentence: 0,:,O
Sentence: 0,154th,O
Sentence: 0,.,O
Sentence: 0,privatization,O
Sentence: 0,goals,O
Sentence: 0,remain,O
Sentence: 0,limited,O
Sentence: 0,.,O
Sentence: 0,three,O
Sentence: 0,hundred,O
Sentence: 0,thousand,O
Sentence: 0,people,O
Sentence: 0,fled,O
Sentence: 0,westward,O
Sentence: 0,.,O
Sentence: 0,mining,O
Sentence: 0,equipment,O
Sentence: 0,hit,O
Sentence: 0,rock,O
Sentence: 0,bottom,O
Sentence: 0,.,O
Sentence: 0,diapers,O
Sentence: 0,remained,O
Sentence: 0,unchanged,O
Sentence: 0,.,O
Sentence: 0,malawi,B-geo
Sentence: 0,'s,O
Sentence: 0,high,O
Sentence: 0,court,O
Sentence: 0,reinstated,O
Sentence: 0,chilumpha,B-per
Sentence: 0,last,O
Sentence: 0,month,O
Sentence: 0,.,O
Sentence: 0,jim,B-per
Sentence: 0,bertel,I-per
Sentence: 0,narrates,O
Sentence: 0,.,O
Sentence: 0,voa,B-org
Sentence: 0,'s,O
Sentence: 0,paul,B-per
Sentence: 0,sisco,I-per
Sentence: 0,reports,O
Sentence: 0,.,O
